Date,series id,year,period,value,footnotes,Change in Nonfarm Payrolls
2021-01-01,CES0000000001,2021,M01,142969,,494.0
2021-02-01,CES0000000001,2021,M02,143544,,575.0
2021-03-01,CES0000000001,2021,M03,144328,,784.0
2021-04-01,CES0000000001,2021,M04,144614,,286.0
2021-05-01,CES0000000001,2021,M05,145096,,482.0
2021-06-01,CES0000000001,2021,M06,145789,,693.0
2021-07-01,CES0000000001,2021,M07,146558,,769.0
2021-08-01,CES0000000001,2021,M08,147221,,663.0
2021-09-01,CES0000000001,2021,M09,147778,,557.0
2021-10-01,CES0000000001,2021,M10,148559,,781.0
2021-11-01,CES0000000001,2021,M11,149173,,614.0
2021-12-01,CES0000000001,2021,M12,149742,,569.0
2022-01-01,CES0000000001,2022,M01,150106,,364.0
2022-02-01,CES0000000001,2022,M02,151010,,904.0
2022-03-01,CES0000000001,2022,M03,151424,,414.0
2022-04-01,CES0000000001,2022,M04,151678,,254.0
2022-05-01,CES0000000001,2022,M05,152042,,364.0
2022-06-01,CES0000000001,2022,M06,152412,,370.0
2022-07-01,CES0000000001,2022,M07,152980,,568.0
2022-08-01,CES0000000001,2022,M08,153332,,352.0
2022-09-01,CES0000000001,2022,M09,153682,,350.0
2022-10-01,CES0000000001,2022,M10,154006,,324.0
2022-11-01,CES0000000001,2022,M11,154296,,290.0
2022-12-01,CES0000000001,2022,M12,154535,,239.0
2023-01-01,CES0000000001,2023,M01,155007,,472.0
2023-02-01,CES0000000001,2023,M02,155255,,248.0
2023-03-01,CES0000000001,2023,M03,155472,,217.0
2023-04-01,CES0000000001,2023,M04,155689,,217.0
2023-05-01,CES0000000001,2023,M05,155970,,281.0
2023-06-01,CES0000000001,2023,M06,156075,,105.0
2023-07-01,CES0000000001,2023,M07,156311,,236.0
2023-08-01,CES0000000001,2023,M08,156476,,165.0
2023-09-01,CES0000000001,2023,M09,156738,,262.0
2023-10-01,CES0000000001,2023,M10,156888,preliminary,150.0
2023-11-01,CES0000000001,2023,M11,157087,preliminary,199.0
